Time,Signal_Type,Value
68155,ALARMA_CRITICA,-6
68165,ALARMA_CRITICA,-6
68175,ALARMA_CRITICA,-6
68185,ALARMA_CRITICA,-6
68195,ALARMA_CRITICA,-6
68205,ALARMA_CRITICA,-6
68215,ALARMA_CRITICA,-6
68225,ALARMA_CRITICA,-6
68235,ALARMA_CRITICA,-6
68245,ALARMA_CRITICA,-6
68255,ALARMA_CRITICA,-6
68265,ALARMA_CRITICA,-6
68275,ALARMA_CRITICA,-6
68285,ALARMA_CRITICA,-6
68295,ALARMA_CRITICA,-6
68305,ALARMA_CRITICA,-6
68315,ALARMA_CRITICA,-6
68325,ALARMA_CRITICA,-6
68335,ALARMA_CRITICA,-6
68345,ALARMA_CRITICA,-6
